unit (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICON,POINT,X_pos0,Y_pos0,Z_pos0,X_pos1,Y_pos1,Z_pos1,X_pos2,Y_pos2,Z_pos2,X_pos3,Y_pos3,Z_pos3,X_pos4,Y_pos4,Z_pos4,X_pos5,Y_pos5,Z_pos5,X_pos6,Y_pos6,Z_pos6,X_pos7,Y_pos7,Z_pos7,X_pos8,Y_pos8,Z_pos8
,20,524.323407,-648.3752674,489.5430504,574.3309495,-646.0637661,491.7167156,474.6697354,-644.823963,493.2106508,523.7736452,-689.6535032,442.2696452,524.3821724,-605.0809828,532.6900603,474.8174683,-600.9731902,536.4489268,573.9866134,-688.1308151,444.7243361,483.7464076,-542.6984728,310.7562826,491.6680556,-218.0013681,1011.970694
,21,458.8631279,-849.8902364,950.1815581,509.1336193,-846.6375229,953.1425,408.9353439,-843.5882063,954.9059735,458.5572323,-921.3758,886.9670323,459.1411379,-774.7173879,1006.814052,408.9358098,-767.1756439,1010.858439,508.7211849,-918.9609832,890.5677983,345.4909728,-540.4237935,308.26625,358.1060417,-185.9183889,1002.987917
,22,-477.738124,-487.3032907,1002.594961,-428.0597982,-483.3056284,1004.300872,-527.5678042,-480.6589788,1005.351905,-477.9170129,-564.0717806,965.5278,-477.5151983,-408.8917672,1033.729741,-527.5869707,-402.0178829,1035.940293,-428.3070672,-560.6475966,967.4551345,204.5156413,-541.4825815,308.4370978,220.8034028,-154.9687917,988.3025625
,23,494.1056899,866.7453295,825.9479109,544.1360321,869.9888486,822.7282752,444.4467143,872.2123757,821.067037,494.2199677,798.9227613,884.5993161,494.2302759,929.6550603,763.7024741,444.3612537,934.7104585,757.8555024,544.2968908,802.2199832,881.9423025,69.27038261,-540.7304348,306.9412772,90.22002708,-124.2910278,977.6692708
,24,-497.5156744,11.65680039,1001.76314,-447.6916468,15.62575734,1001.724633,-547.3241534,18.22706984,1001.655291,-497.5074581,-66.28658903,1000.012355,-497.225569,88.86002069,998.3846207,-547.2731512,95.58159268,997.6412488,-447.7132941,-62.71854202,1000.291176,-71.98529185,-538.2765326,304.3837228,-44.74037569,-91.69105556,979.2413403
,25,-498.1392674,502.2077054,928.7870698,-448.4914541,505.9889312,927.056078,-547.8699683,508.3724603,926.0497407,-498.1722387,428.1428774,961.5291161,-498.1776293,573.1411207,891.5794741,-548.1298146,579.4012195,888.1643512,-448.626916,431.7760756,960.1471765,NA,NA,NA,-177.0874792,-61.88437917,986.9804931
,26,-484.9137287,882.2450078,816.8587481,-435.1344862,885.6525092,813.8108028,-534.5363651,887.8507513,811.9670847,-485.0015161,815.063529,876.5874065,-484.856431,944.5369828,753.7779828,-534.5858732,949.8535171,747.8748341,-434.8184958,818.4696975,873.9716723,-346.9949674,-550.6465924,300.7529457,-311.9257986,-29.61185417,1005.082847
,27,-530.6734341,642.9830388,554.1234225,-481.181578,645.7118486,551.9510642,-580.5456085,647.1733069,550.5760106,-530.7653355,594.9711742,597.6879484,-530.5751379,687.6578879,507.9928707,-580.475161,691.6333512,503.952,-480.8598487,597.3796471,595.8408571,480.2148315,-527.3978533,165.8781902,520.2871319,-75.33176111,1010.571319
,28,-83.18788023,935.5679147,2.758785155,-33.48547385,935.8804174,-0.749577789,-132.7756508,936.162,-2.691029418,-83.2920671,924.9509161,67.33861355,-82.97494914,941.3106552,-62.35252759,-132.8960049,941.5512049,-67.97352098,10.1846437,840.7846807,59.32470084,349.5430761,-522.6238587,168.0446467,392.5029792,-47.73707431,1002.652708
,29,526.9995736,645.4663256,554.1538837,576.8097706,648.0944541,551.9627385,477.1339048,649.6858042,550.3051058,526.9671548,597.2535032,597.9290387,526.5402328,690.7287586,507.7781379,476.782837,694.528037,503.668363,576.7832269,599.8460588,595.7812521,204.307538,-521.7214185,164.8769185,252.0159931,-13.94999722,990.9974444
,30,509.247593,536.9603023,921.2832326,559.0775,540.5877798,919.2760963,459.3940794,542.958455,918.2253175,509.1412258,463.2488065,956.5198387,509.2937155,607.1991379,881.548319,459.3901951,613.1703317,877.9424927,559.0118739,466.8154286,955.0499244,69.35218207,-521.1723967,164.9683478,120.7656458,15.64402778,980.5694097
,31,62.79935271,933.6949109,3.148582713,112.5165413,933.9850413,0.054054986,12.76363925,934.7368065,-2.257823978,62.75990774,923.1257226,68.27869613,62.5618181,939.5172155,-61.63068534,13.06127805,939.6297756,-67.29445902,124.3045798,749.5476134,54.84882437,-72.74165652,-523.0766359,164.691,-15.55870069,46.32479931,975.1101875
,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206.0783261,-525.7986413,162.6476685,-144.2945903,76.95339514,988.7790417
,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-350.22975,-528.5524674,160.9284837,-284.0599444,108.8608681,1006.141806
,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.2859511,-511.0902174,21.92293207,424.1283403,94.84790139,994.4876875
,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.3322663,-507.819837,22.26684674,283.6869722,125.5154375,985.0987917
,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0064337,-504.6656033,21.62291957,151.9090972,156.3216389,975.2709792
,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.99413533,-496.0584293,24.26958859,18.9296,184.6072847,976.0311736
,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-205.2998261,-492.4959022,22.09000978,-112.2715417,218.2991667,989.0402639
